,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
100,2022-11-10,201.87954652446044,174.1744757723463,234.2826798444497,201.87954652446044,201.87954652446044,3.3146453562145237,3.3146453562145237,3.3146453562145237,3.3146453562145237,3.3146453562145237,3.3146453562145237,0.0,0.0,0.0,205.19419188067496
101,2022-11-11,200.74003801439954,173.20846752091825,235.55617672333403,200.74003801439954,200.74003801439954,4.260169038959451,4.260169038959451,4.260169038959451,4.260169038959451,4.260169038959451,4.260169038959451,0.0,0.0,0.0,205.000207053359
102,2022-11-14,197.32151248421678,169.52818095217273,231.93603039145304,197.32151248421678,197.32151248421678,4.98842167625681,4.98842167625681,4.98842167625681,4.98842167625681,4.98842167625681,4.98842167625681,0.0,0.0,0.0,202.3099341604736
103,2022-11-15,196.18200397415586,168.72818888794134,227.112949344112,196.18200397415586,196.18200397415586,2.0726856794609834,2.0726856794609834,2.0726856794609834,2.0726856794609834,2.0726856794609834,2.0726856794609834,0.0,0.0,0.0,198.25468965361685
104,2022-11-16,195.0425137925942,166.07999636515666,228.49292903998196,195.0425137925942,195.0425137925942,2.7586887819878374,2.7586887819878374,2.7586887819878374,2.7586887819878374,2.7586887819878374,2.7586887819878374,0.0,0.0,0.0,197.80120257458205
105,2022-11-17,193.90302361103252,166.67112789908532,226.5290591485798,193.90302361103252,193.90302361103252,3.314645356211142,3.314645356211142,3.314645356211142,3.314645356211142,3.314645356211142,3.314645356211142,0.0,0.0,0.0,197.21766896724367
106,2022-11-18,192.76353342947084,164.35218613303388,227.24739097217676,192.76353342947084,192.76353342947084,4.260169038974399,4.260169038974399,4.260169038974399,4.260169038974399,4.260169038974399,4.260169038974399,0.0,0.0,0.0,197.02370246844524
107,2022-11-21,189.34506288478588,165.01002419094874,221.31354754352427,189.34506288478588,189.34506288478588,4.9884216762652605,4.9884216762652605,4.9884216762652605,4.9884216762652605,4.9884216762652605,4.9884216762652605,0.0,0.0,0.0,194.33348456105114
108,2022-11-22,188.2055727032242,161.61020097710923,219.77678266777394,188.2055727032242,188.2055727032242,2.0726856794609647,2.0726856794609647,2.0726856794609647,2.0726856794609647,2.0726856794609647,2.0726856794609647,0.0,0.0,0.0,190.27825838268515
109,2022-11-23,187.06608252166254,157.30746742590324,219.43609006903614,187.06608252166254,187.06608252166254,2.7586887819844934,2.7586887819844934,2.7586887819844934,2.7586887819844934,2.7586887819844934,2.7586887819844934,0.0,0.0,0.0,189.82477130364703
110,2022-11-25,184.7871021585392,158.6517840904329,217.36945105483625,184.7871021585392,184.7871021585392,4.2601690389779305,4.2601690389779305,4.2601690389779305,4.2601690389779305,4.2601690389779305,4.2601690389779305,0.0,0.0,0.0,189.04727119751712
111,2022-11-28,181.3686316138543,154.97673762914832,215.18315616600216,181.3686316138543,181.3686316138543,4.988421676240742,4.988421676240742,4.988421676240742,4.988421676240742,4.988421676240742,4.988421676240742,0.0,0.0,0.0,186.35705329009502
112,2022-11-29,180.235005624092,150.65729662908592,213.57578084702376,180.235005624092,180.235005624092,2.0726856794562196,2.0726856794562196,2.0726856794562196,2.0726856794562196,2.0726856794562196,2.0726856794562196,0.0,0.0,0.0,182.3076913035482
113,2022-11-30,179.10137963432967,152.4171019570612,211.14902134755346,179.10137963432967,179.10137963432967,2.7586887819868986,2.7586887819868986,2.7586887819868986,2.7586887819868986,2.7586887819868986,2.7586887819868986,0.0,0.0,0.0,181.86006841631658
114,2022-12-01,177.9677536445674,150.5250916452933,212.99234219679138,177.9677536445674,177.9677536445674,3.3146453562132536,3.3146453562132536,3.3146453562132536,3.3146453562132536,3.3146453562132536,3.3146453562132536,0.0,0.0,0.0,181.28239900078066
115,2022-12-02,176.83412765480514,149.83531221241023,209.28573068750936,176.83412765480514,176.83412765480514,4.260169038967766,4.260169038967766,4.260169038967766,4.260169038967766,4.260169038967766,4.260169038967766,0.0,0.0,0.0,181.09429669377292
116,2022-12-05,173.43324968551823,149.2867042961324,209.2721621381124,173.43324968551823,173.43324968551823,4.988421676249192,4.988421676249192,4.988421676249192,4.988421676249192,4.988421676249192,4.988421676249192,0.0,0.0,0.0,178.42167136176744
117,2022-12-06,172.29962369575597,146.04456765572937,204.78074991920005,172.29962369575597,172.29962369575597,2.0726856794562014,2.0726856794562014,2.0726856794562014,2.0726856794562014,2.0726856794562014,2.0726856794562014,0.0,0.0,0.0,174.37230937521218
118,2022-12-07,171.1659977059937,144.84710426670975,205.5963408949102,171.1659977059937,171.1659977059937,2.7586887819846964,2.7586887819846964,2.7586887819846964,2.7586887819846964,2.7586887819846964,2.7586887819846964,0.0,0.0,0.0,173.9246864879784
119,2022-12-08,170.03237171623132,141.18738103971288,204.46517330085152,170.03237171623132,170.03237171623132,3.314645356218749,3.314645356218749,3.314645356218749,3.314645356218749,3.314645356218749,3.314645356218749,0.0,0.0,0.0,173.3470170724501
120,2022-12-09,169.05457427221768,143.07043799660437,204.933863615935,169.05457427221768,169.05457427221768,4.260169038996409,4.260169038996409,4.260169038996409,4.260169038996409,4.260169038996409,4.260169038996409,0.0,0.0,0.0,173.3147433112141
121,2022-12-12,166.12118194017683,140.3889616190438,203.57994783227505,166.12118194017683,166.12118194017683,4.988421676246821,4.988421676246821,4.988421676246821,4.988421676246821,4.988421676246821,4.988421676246821,0.0,0.0,0.0,171.10960361642364
122,2022-12-13,165.1433844961632,136.9857043363981,198.01527060453984,165.1433844961632,165.1433844961632,2.0726856794514563,2.0726856794514563,2.0726856794514563,2.0726856794514563,2.0726856794514563,2.0726856794514563,0.0,0.0,0.0,167.21607017561468
123,2022-12-14,164.1655870521496,135.66675748692109,196.67192509178523,164.1655870521496,164.1655870521496,2.758688781987101,2.758688781987101,2.758688781987101,2.758688781987101,2.758688781987101,2.758688781987101,0.0,0.0,0.0,166.9242758341367
124,2022-12-15,163.18778960813594,137.9052093266027,200.68661818786074,163.18778960813594,163.18778960813594,3.314645356213989,3.314645356213989,3.314645356213989,3.314645356213989,3.314645356213989,3.314645356213989,0.0,0.0,0.0,166.50243496434993
125,2022-12-16,162.2099921641223,135.54746006710178,193.73331557967884,162.2099921641223,162.2099921641223,4.2601690389862465,4.2601690389862465,4.2601690389862465,4.2601690389862465,4.2601690389862465,4.2601690389862465,0.0,0.0,0.0,166.47016120310855
126,2022-12-19,159.27659983208147,133.28937601725386,194.9380687750587,159.27659983208147,159.27659983208147,4.98842167626609,4.98842167626609,4.98842167626609,4.98842167626609,4.98842167626609,4.98842167626609,0.0,0.0,0.0,164.26502150834756
127,2022-12-20,158.29880238806794,131.8977598934233,188.31777720065793,158.29880238806794,158.29880238806794,2.072685679466919,2.072685679466919,2.072685679466919,2.072685679466919,2.072685679466919,2.072685679466919,0.0,0.0,0.0,160.37148806753487
128,2022-12-21,157.74875155262325,131.7340480477418,191.75680848241453,157.74875155262325,157.74875155262325,2.7586887819872024,2.7586887819872024,2.7586887819872024,2.7586887819872024,2.7586887819872024,2.7586887819872024,0.0,0.0,0.0,160.50744033461044
129,2022-12-22,157.19870071717853,129.3833788903468,193.4608174735203,157.19870071717853,157.19870071717853,3.314645356210605,3.314645356210605,3.314645356210605,3.314645356210605,3.314645356210605,3.314645356210605,0.0,0.0,0.0,160.51334607338913
130,2022-12-23,156.64864988173383,130.71557551277803,192.69406955051377,156.64864988173383,156.64864988173383,4.260169038989776,4.260169038989776,4.260169038989776,4.260169038989776,4.260169038989776,4.260169038989776,0.0,0.0,0.0,160.9088189207236
